N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Kaufdorf;1073.00;520.90;251.00;627.00;195.00;94.00;9.00;4.00;3.00;8.00;2.44;9.00;34.00;0.00;67.40;46.70;15.00;0.00;-47.60
Kehrsatz;4380.00;986.50;985.00;2500.00;895.00;1160.00;23.00;5.00;33.00;7.40;2.33;13.00;166.00;63.00;56.00;53.60;381.00;0.00;5.70
Kirchdorf (BE);1796.00;122.80;332.00;1135.00;329.00;103.00;3.00;1.00;12.00;6.10;2.23;63.00;69.00;1.00;46.60;49.90;22.00;0.00;-22.60
Niedermuhlern;512.00;70.50;88.00;316.00;108.00;29.00;2.00;2.00;1.00;6.30;2.26;31.00;21.00;0.00;29.60;58.60;X;0.00;19.70
Riggisberg;2599.00;87.10;500.00;1521.00;578.00;174.00;-2.00;9.00;27.00;6.20;2.25;55.00;125.00;13.00;42.50;50.50;68.00;0.00;11.60
Rüeggisberg;1765.00;49.30;296.00;1081.00;388.00;82.00;-10.00;7.00;20.00;4.20;2.13;113.00;69.00;0.00;33.90;56.80;51.00;0.00;6.20
Rümligen;435.00;93.30;76.00;263.00;96.00;15.00;-4.00;2.00;6.00;2.00;2.20;16.00;16.00;1.00;50.40;53.40;10.00;0.00;4.60
Seftigen;2147.00;551.90;432.00;1232.00;483.00;166.00;-1.00;5.00;17.00;4.40;2.21;14.00;97.00;0.00;52.30;59.80;124.00;0.00;-5.10
Toffen;2547.00;521.90;462.00;1474.00;611.00;269.00;-3.00;5.00;24.00;4.40;2.18;13.00;116.00;1.00;61.10;55.90;72.00;0.00;9.50
Uttigen;2153.00;565.10;443.00;1296.00;414.00;139.00;8.00;10.00;16.00;6.20;2.33;14.00;74.00;11.00;60.90;52.40;34.00;0.00;7.50
Wattenwil;3060.00;210.50;676.00;1752.00;632.00;139.00;-5.00;14.00;31.00;6.30;2.28;33.00;127.00;36.00;42.80;55.90;91.00;0.00;13.80
Wald (BE);1160.00;87.20;222.00;650.00;288.00;73.00;3.00;4.00;7.00;4.10;2.22;46.00;58.00;0.00;48.30;52.20;X;0.00;-3.40
Thurnen;2035.00;342.00;417.00;1195.00;423.00;145.00;1.00;14.00;16.00;5.10;2.29;28.00;67.00;6.00;55.90;52.00;41.00;0.00;32.90
Eggiwil;2486.00;41.20;592.00;1372.00;522.00;45.00;13.00;13.00;22.00;9.20;2.42;183.00;98.00;3.00;28.40;47.90;30.00;0.00;-0.40
Langnau im Emmental;9262.00;191.50;1796.00;5394.00;2072.00;722.00;-10.00;46.00;92.00;5.90;2.16;164.00;484.00;32.00;36.20;57.50;344.00;1.00;-5.70
Lauperswil;2663.00;125.70;523.00;1574.00;566.00;110.00;3.00;13.00;15.00;5.70;2.21;94.00;96.00;13.00;31.70;53.60;57.00;0.00;0.00
Röthenbach im Emmental;1169.00;31.80;239.00;691.00;239.00;23.00;-8.00;5.00;16.00;9.50;2.32;93.00;49.00;4.00;25.00;52.00;26.00;0.00;9.40
Rüderswil;2373.00;137.90;493.00;1402.00;478.00;86.00;0.00;16.00;20.00;6.20;2.24;77.00;90.00;1.00;35.50;51.50;61.00;0.00;-10.10
Schangnau;918.00;25.20;211.00;537.00;170.00;34.00;0.00;5.00;10.00;8.60;2.38;82.00;42.00;5.00;21.30;48.90;8.00;0.00;12.10
Signau;2594.00;117.20;470.00;1507.00;617.00;123.00;-14.00;6.00;30.00;5.20;2.16;101.00;84.00;8.00;30.10;53.10;74.00;0.00;-8.40
Trub;1314.00;21.20;300.00;751.00;263.00;26.00;-3.00;6.00;10.00;12.60;2.56;133.00;45.00;5.00;23.80;53.60;36.00;0.00;-8.30
Trubschachen;1465.00;93.60;283.00;817.00;365.00;114.00;-2.00;9.00;11.00;7.80;2.36;46.00;52.00;6.00;33.40;52.50;50.00;0.00;0.00
Amsoldingen;800.00;169.90;148.00;472.00;180.00;34.00;-3.00;4.00;7.00;5.90;2.24;14.00;36.00;0.00;52.00;52.10;10.00;0.00;10.00
Blumenstein;1236.00;79.60;238.00;690.00;308.00;38.00;-6.00;4.00;17.00;5.80;2.26;20.00;37.00;5.00;45.70;57.90;30.00;0.00;-0.80
Buchholterberg;1519.00;99.10;330.00;872.00;317.00;47.00;-8.00;2.00;21.00;7.80;2.34;70.00;55.00;3.00;32.50;52.50;21.00;0.00;7.90
Eriz;485.00;22.30;87.00;283.00;115.00;11.00;-1.00;4.00;5.00;5.50;2.20;30.00;16.00;0.00;31.90;59.70;14.00;0.00;-10.20
Fahrni;811.00;121.40;170.00;480.00;161.00;24.00;3.00;3.00;9.00;3.50;2.32;38.00;28.00;0.00;32.00;53.10;7.00;0.00;-14.70
Heiligenschwendi;725.00;130.60;139.00;405.00;181.00;68.00;5.00;5.00;4.00;5.20;1.95;16.00;29.00;8.00;32.80;47.20;14.00;0.00;16.80
Heimberg;6968.00;1280.90;1376.00;4193.00;1399.00;842.00;17.00;32.00;54.00;5.40;2.24;11.00;290.00;16.00;59.70;65.80;201.00;0.00;4.60
Hilterfingen;4094.00;1456.90;697.00;2234.00;1163.00;348.00;-29.00;12.00;54.00;4.40;2.03;X;189.00;29.00;55.70;49.80;96.00;0.00;16.70
Homberg;510.00;78.30;140.00;285.00;85.00;14.00;-4.00;1.00;5.00;11.70;2.57;33.00;31.00;1.00;31.90;54.30;X;0.00;21.70
Horrenbach-Buchen;226.00;11.10;51.00;133.00;42.00;4.00;-3.00;3.00;4.00;11.00;2.40;22.00;11.00;0.00;37.50;55.60;X;0.00;4.40
Oberhofen am Thunersee;2445.00;902.20;359.00;1263.00;823.00;267.00;-10.00;10.00;25.00;2.20;1.96;7.00;158.00;0.00;46.70;54.20;46.00;0.00;11.90
Oberlangenegg;483.00;52.70;115.00;273.00;95.00;6.00;2.00;0.00;4.00;8.10;2.39;32.00;27.00;3.00;21.40;58.30;X;0.00;29.60
Pohlern;232.00;23.50;50.00;134.00;48.00;12.00;0.00;0.00;1.00;5.60;2.15;10.00;8.00;0.00;38.50;57.00;X;0.00;-62.60
Sigriswil;4847.00;87.50;633.00;2633.00;1581.00;485.00;-35.00;22.00;66.00;3.10;1.90;95.00;228.00;8.00;34.20;55.10;56.00;0.00;11.60
Steffisburg;15991.00;1079.70;2896.00;9258.00;3837.00;1734.00;10.00;56.00;145.00;4.10;2.09;55.00;654.00;53.00;54.40;62.90;427.00;0.00;2.90
Teuffenthal (BE);160.00;35.30;30.00;96.00;34.00;2.00;-1.00;0.00;1.00;7.00;2.24;17.00;8.00;0.00;29.00;46.80;X;0.00;-24.50
Thierachern;2514.00;333.90;561.00;1446.00;507.00;123.00;2.00;9.00;17.00;6.50;2.36;27.00;94.00;6.00;60.50;60.00;35.00;0.00;14.00
Thun;43476.00;2015.60;7234.00;25612.00;10630.00;6175.00;-122.00;189.00;479.00;3.80;2.02;33.00;2841.00;66.00;45.70;66.90;1709.00;2.00;-0.70
Uebeschi;718.00;162.40;171.00;407.00;140.00;22.00;8.00;3.00;1.00;9.30;2.45;29.00;26.00;1.00;44.20;47.90;8.00;0.00;37.10
Uetendorf;5830.00;573.30;1091.00;3229.00;1510.00;423.00;-19.00;23.00;59.00;4.50;2.18;42.00;313.00;20.00;58.40;57.00;194.00;0.00;0.70
Unterlangenegg;1018.00;149.70;222.00;615.00;181.00;18.00;-6.00;1.00;13.00;7.30;2.36;39.00;40.00;19.00;36.10;50.70;16.00;0.00;18.80
Wachseldorn;229.00;65.20;49.00;120.00;60.00;9.00;0.00;2.00;1.00;8.70;2.19;19.00;7.00;0.00;23.00;61.00;X;0.00;-39.00
Zwieselberg;322.00;130.90;83.00;181.00;58.00;17.00;3.00;4.00;1.00;8.90;2.62;7.00;22.00;0.00;38.70;50.70;X;0.00;-27.60
Forst-Längenbühl;769.00;170.90;164.00;464.00;141.00;21.00;3.00;2.00;4.00;5.90;2.24;25.00;25.00;0.00;37.40;57.50;X;0.00;-9.10
Affoltern im Emmental;1125.00;97.70;199.00;669.00;257.00;48.00;1.00;7.00;12.00;5.00;2.15;55.00;50.00;4.00;39.40;49.30;15.00;0.00;13.40
Dürrenroth;1052.00;74.50;242.00;591.00;219.00;41.00;-6.00;5.00;14.00;9.30;2.33;59.00;37.00;1.00;36.80;52.20;21.00;0.00;15.30
Eriswil;1358.00;119.80;284.00;766.00;308.00;59.00;-9.00;5.00;22.00;7.90;2.28;57.00;45.00;2.00;38.50;48.40;33.00;0.00;-5.90
Huttwil;5009.00;290.50;1020.00;2900.00;1089.00;690.00;3.00;15.00;52.00;6.70;2.15;74.00;253.00;17.00;47.40;51.10;275.00;0.00;-0.20
Lützelflüh;4211.00;156.70;836.00;2473.00;902.00;294.00;3.00;21.00;38.00;6.40;2.22;117.00;166.00;38.00;43.20;56.60;143.00;0.00;0.70
Rüegsau;3265.00;216.80;637.00;1887.00;741.00;175.00;-5.00;17.00;40.00;6.30;2.21;65.00;125.00;15.00;41.00;56.10;68.00;0.00;16.00
Sumiswald;5044.00;85.00;971.00;2888.00;1185.00;331.00;-34.00;15.00;72.00;6.40;2.16;166.00;229.00;20.00;35.60;49.60;171.00;0.00;11.70
Trachselwald;954.00;59.80;199.00;561.00;194.00;31.00;-2.00;5.00;7.00;9.50;2.34;69.00;37.00;0.00;27.50;42.30;17.00;0.00;-8.40
Walterswil (BE);540.00;68.60;110.00;318.00;112.00;16.00;-2.00;0.00;4.00;10.40;2.62;46.00;18.00;0.00;30.40;41.10;X;0.00;-5.60
Wyssachen;1103.00;94.40;234.00;639.00;230.00;52.00;2.00;2.00;9.00;8.00;2.32;61.00;34.00;0.00;35.70;47.50;28.00;0.00;-5.40
Attiswil;1532.00;200.30;277.00;895.00;360.00;152.00;4.00;7.00;16.00;3.70;2.18;17.00;51.00;0.00;63.20;53.20;28.00;0.00;10.50
Berken;44.00;31.70;3.00;28.00;13.00;2.00;1.00;1.00;0.00;14.30;2.10;5.00;X;0.00;47.40;43.50;X;0.00;47.10
Bettenhausen;642.00;162.90;108.00;366.00;168.00;24.00;-5.00;2.00;11.00;3.30;2.12;15.00;14.00;0.00;65.90;50.10;13.00;0.00;3.10
Farnern;227.00;61.70;41.00;136.00;50.00;8.00;-3.00;0.00;4.00;4.00;2.24;8.00;11.00;0.00;63.50;46.30;X;0.00;63.30
Graben;336.00;106.30;69.00;207.00;60.00;24.00;0.00;2.00;2.00;11.70;2.43;8.00;9.00;0.00;52.80;51.30;X;0.00;-17.70
Heimenhausen;1136.00;194.50;212.00;704.00;220.00;89.00;-2.00;3.00;11.00;4.50;2.19;14.00;32.00;8.00;62.40;51.30;18.00;0.00;-6.20
Herzogenbuchsee;7293.00;742.70;1462.00;4250.00;1581.00;1381.00;4.00;27.00;73.00;5.90;2.16;13.00;358.00;32.00;58.20;60.20;342.00;0.00;8.70
Inkwil;628.00;185.80;97.00;377.00;154.00;34.00;3.00;3.00;1.00;4.00;2.08;5.00;23.00;1.00;72.70;53.30;13.00;0.00;22.60
Niederbipp;5097.00;257.80;1003.00;3208.00;886.00;1291.00;19.00;24.00;43.00;5.50;2.27;39.00;228.00;66.00;63.10;53.00;226.00;0.00;20.20
Niederönz;1691.00;606.10;323.00;990.00;378.00;148.00;-2.00;9.00;14.00;3.80;2.19;7.00;44.00;24.00;65.30;64.40;61.00;0.00;7.10
Oberbipp;1753.00;207.50;360.00;1106.00;287.00;284.00;-6.00;7.00;20.00;5.10;2.23;16.00;86.00;14.00;68.00;50.20;52.00;0.00;7.40
Ochlenberg;563.00;46.50;120.00;314.00;129.00;21.00;-4.00;2.00;8.00;10.00;2.31;47.00;19.00;0.00;29.60;46.20;X;0.00;-1.80
Rumisberg;491.00;95.50;88.00;285.00;118.00;22.00;2.00;1.00;2.00;4.50;2.20;10.00;18.00;1.00;72.30;51.70;X;0.00;12.30
Seeberg;1559.00;92.80;289.00;955.00;315.00;83.00;6.00;9.00;3.00;7.00;2.22;58.00;61.00;11.00;54.40;47.90;25.00;0.00;13.60
Thörigen;1156.00;254.10;236.00;717.00;203.00;87.00;-5.00;9.00;9.00;4.20;2.17;12.00;50.00;10.00;60.80;51.70;38.00;0.00;5.20
Walliswil bei Niederbipp;227.00;154.40;35.00;133.00;59.00;23.00;2.00;1.00;0.00;5.30;1.98;6.00;6.00;3.00;70.10;56.20;X;0.00;31.50
Walliswil bei Wangen;604.00;196.70;107.00;372.00;125.00;31.00;-1.00;0.00;8.00;3.20;2.13;8.00;14.00;0.00;71.10;54.30;7.00;0.00;-3.30
Wangen an der Aare;2377.00;455.40;444.00;1481.00;452.00;372.00;-10.00;8.00;27.00;3.90;2.07;12.00;141.00;30.00;59.30;57.40;60.00;0.00;26.40
Wangenried;407.00;139.90;78.00;232.00;97.00;18.00;-3.00;1.00;5.00;5.50;2.20;14.00;14.00;0.00;60.60;50.20;X;0.00;12.30
Wiedlisbach;2382.00;317.60;442.00;1481.00;459.00;414.00;7.00;21.00;21.00;4.40;2.07;17.00;129.00;47.00;61.00;52.60;77.00;0.00;-2.10
Doppleschwand;816.00;117.40;215.00;479.00;122.00;36.00;2.00;3.00;5.00;11.80;2.59;29.00;30.00;2.00;42.70;40.80;X;0.00;33.60
Entlebuch;3230.00;56.80;696.00;1916.00;618.00;217.00;2.00;20.00;30.00;8.40;2.35;149.00;172.00;19.00;36.80;48.80;39.00;0.00;-15.70
Flühli;1836.00;17.00;379.00;1107.00;350.00;272.00;-6.00;7.00;13.00;8.80;2.30;92.00;113.00;15.00;41.60;50.50;9.00;0.00;-68.00
Hasle (LU);1739.00;43.10;379.00;1044.00;316.00;55.00;-2.00;7.00;16.00;10.10;2.46;78.00;61.00;3.00;41.10;47.80;9.00;0.00;1.70
Romoos;656.00;17.50;149.00;386.00;121.00;20.00;-2.00;1.00;8.00;12.60;2.52;73.00;20.00;9.00;23.00;50.90;X;0.00;-1.50
Schüpfheim;4237.00;110.40;967.00;2464.00;806.00;298.00;11.00;15.00;30.00;11.00;2.47;156.00;192.00;24.00;44.40;47.50;99.00;0.00;3.80
Werthenstein;2125.00;134.50;505.00;1289.00;331.00;264.00;16.00;8.00;15.00;9.40;2.45;73.00;98.00;0.00;43.20;51.20;36.00;0.00;-33.00
Escholzmatt-Marbach;4349.00;40.90;888.00;2540.00;921.00;226.00;-14.00;24.00;56.00;8.90;2.31;265.00;178.00;25.00;30.70;48.30;74.00;0.00;2.50
Aesch (LU);1285.00;278.70;244.00;797.00;244.00;162.00;12.00;3.00;7.00;5.90;2.27;24.00;75.00;2.00;56.50;44.00;12.00;0.00;14.20
Altwis;461.00;157.30;116.00;283.00;62.00;57.00;3.00;1.00;0.00;12.90;2.67;14.00;18.00;0.00;57.50;36.50;13.00;0.00;62.90
Ballwil;2679.00;305.50;619.00;1596.00;464.00;216.00;11.00;14.00;15.00;8.30;2.44;39.00;125.00;6.00;49.30;48.00;17.00;0.00;-16.70
Emmen;31039.00;1523.80;6249.00;19362.00;5428.00;11186.00;20.00;133.00;318.00;5.90;2.19;37.00;1182.00;124.00;40.10;66.30;1267.00;1.00;-0.60
Ermensee;1029.00;180.80;226.00;649.00;154.00;134.00;-1.00;1.00;3.00;10.50;2.50;15.00;52.00;18.00;58.30;45.10;9.00;0.00;38.70
Eschenbach (LU);3677.00;278.30;780.00;2246.00;651.00;403.00;0.00;16.00;28.00;6.80;2.38;52.00;169.00;71.00;48.90;49.30;25.00;0.00;12.30
Hitzkirch;5455.00;221.20;1198.00;3343.00;914.00;892.00;20.00;24.00;35.00;9.50;2.50;102.00;268.00;35.00;65.50;44.20;132.00;0.00;2.00
Hochdorf;9872.00;1024.10;2164.00;5894.00;1814.00;2170.00;22.00;42.00;77.00;6.80;2.35;31.00;456.00;69.00;47.50;56.00;229.00;0.00;-2.40
Hohenrain;2429.00;104.60;572.00;1477.00;380.00;202.00;14.00;10.00;14.00;11.80;2.60;104.00;110.00;18.00;53.70;35.70;10.00;0.00;0.00
Inwil;2706.00;262.20;645.00;1695.00;366.00;354.00;31.00;14.00;13.00;8.20;2.43;39.00;129.00;27.00;41.40;49.10;11.00;0.00;12.70
Rain;2940.00;312.10;734.00;1801.00;405.00;210.00;18.00;11.00;13.00;8.10;2.54;44.00;136.00;52.00;52.20;43.10;13.00;0.00;30.50
Römerswil;1810.00;109.00;442.00;1107.00;261.00;164.00;14.00;9.00;8.00;11.30;2.52;83.00;53.00;4.00;54.20;46.30;13.00;0.00;3.30
Rothenburg;7715.00;498.10;1681.00;4557.00;1477.00;877.00;16.00;29.00;44.00;6.40;2.43;62.00;429.00;78.00;56.40;57.10;70.00;0.00;-0.90
Schongau;1046.00;84.20;242.00;655.00;149.00;81.00;3.00;4.00;5.00;9.90;2.45;50.00;50.00;18.00;50.20;38.00;X;0.00;12.50
Adligenswil;5471.00;782.70;1197.00;2979.00;1295.00;619.00;8.00;16.00;34.00;6.00;2.40;23.00;268.00;0.00;69.40;43.40;32.00;0.00;0.90
Buchrain;6400.00;1333.30;1420.00;4011.00;969.00;1331.00;24.00;25.00;43.00;6.30;2.45;9.00;209.00;9.00;62.20;59.10;183.00;0.00;1.60
Dierikon;1579.00;568.00;351.00;1020.00;208.00;302.00;21.00;7.00;5.00;6.50;2.41;9.00;82.00;0.00;48.80;66.40;34.00;0.00;49.00
Ebikon;14066.00;1453.10;2885.00;8585.00;2596.00;3185.00;94.00;74.00;91.00;6.10;2.27;19.00;682.00;164.00;53.00;63.80;478.00;1.00;8.10
Gisikon;1421.00;1315.70;301.00;954.00;166.00;311.00;16.00;7.00;6.00;5.40;2.38;4.00;55.00;0.00;61.50;34.00;29.00;0.00;-2.80
Greppen;1185.00;356.90;269.00;751.00;165.00;231.00;8.00;5.00;2.00;7.80;2.49;11.00;48.00;2.00;55.40;47.80;12.00;0.00;11.90
Honau;414.00;331.20;95.00;275.00;44.00;45.00;1.00;2.00;2.00;9.60;2.62;5.00;18.00;0.00;70.40;38.00;X;0.00;34.40
Horw;14211.00;1105.10;2643.00;8403.00;3165.00;2448.00;-30.00;60.00;143.00;4.50;2.16;28.00;727.00;120.00;49.60;56.40;382.00;0.00;-3.00
Kriens;28245.00;1034.60;5228.00;17030.00;5987.00;5682.00;21.00;115.00;242.00;4.50;2.15;46.00;1243.00;185.00;45.20;65.00;1101.00;0.00;12.80
Luzern;82620.00;2838.20;13374.00;53171.00;16075.00;20169.00;47.00;399.00;804.00;3.20;1.92;42.00;7719.00;166.00;22.80;61.60;3450.00;4.00;2.80
Malters;7410.00;259.40;1551.00;4717.00;1142.00;962.00;41.00;45.00;57.00;6.90;2.33;113.00;305.00;18.00;43.20;52.70;148.00;0.00;-9.30
Meggen;7562.00;1040.20;1325.00;4203.00;2034.00;1290.00;-21.00;22.00;61.00;4.20;2.19;19.00;540.00;16.00;53.30;51.90;48.00;0.00;20.10
Meierskappel;1477.00;217.20;356.00;905.00;216.00;233.00;2.00;9.00;10.00;10.00;2.53;34.00;70.00;1.00;49.50;39.60;10.00;0.00;19.10
Root;5335.00;616.80;1187.00;3458.00;690.00;1439.00;46.00;22.00;19.00;7.10;2.44;21.00;335.00;61.00;48.70;60.60;161.00;0.00;30.40
Schwarzenberg;1738.00;44.20;388.00;1045.00;305.00;133.00;6.00;6.00;12.00;7.40;2.44;52.00;67.00;1.00;63.50;48.80;7.00;0.00;1.70
Udligenswil;2371.00;381.20;518.00;1401.00;452.00;291.00;7.00;9.00;11.00;6.00;2.45;25.00;95.00;45.00;64.00;41.70;18.00;0.00;29.20
Vitznau;1426.00;159.90;218.00;884.00;324.00;394.00;2.00;5.00;10.00;3.70;2.07;21.00;103.00;7.00;50.50;54.20;8.00;0.00;17.70
Weggis;4440.00;376.60;643.00;2605.00;1192.00;1105.00;-17.00;21.00;45.00;3.90;2.08;34.00;313.00;97.00;52.40;49.00;32.00;0.00;32.20
Beromünster;6661.00;158.10;1577.00;4022.00;1062.00;828.00;19.00;27.00;47.00;9.40;2.47;152.00;311.00;26.00;56.50;42.60;94.00;0.00;4.40
Büron;2662.00;495.70;588.00;1715.00;359.00;727.00;32.00;16.00;11.00;9.10;2.46;20.00;96.00;13.00;52.50;55.00;38.00;0.00;26.40
Buttisholz;3322.00;198.80;823.00;1993.00;506.00;396.00;6.00;15.00;22.00;11.20;2.58;90.00;158.00;4.00;53.20;40.70;15.00;0.00;-9.60
Eich;1600.00;269.40;279.00;998.00;323.00;117.00;-5.00;6.00;13.00;4.20;2.27;24.00;102.00;3.00;57.00;41.40;X;0.00;-15.50
Geuensee;2882.00;445.40;718.00;1743.00;421.00;634.00;9.00;11.00;17.00;9.10;2.61;30.00;102.00;2.00;52.80;47.20;52.00;0.00;-3.10
Grosswangen;3293.00;167.20;808.00;1985.00;500.00;390.00;9.00;15.00;26.00;10.80;2.53;109.00;148.00;26.00;41.80;44.70;47.00;0.00;11.60
Hildisrieden;2437.00;346.20;537.00;1417.00;483.00;219.00;21.00;13.00;11.00;8.00;2.44;30.00;113.00;40.00;58.00;48.30;20.00;0.00;29.30
Knutwil;2271.00;233.20;513.00;1418.00;340.00;232.00;6.00;11.00;14.00;7.80;2.44;34.00;93.00;4.00;59.80;45.80;21.00;0.00;-6.20
Mauensee;1489.00;206.20;302.00;984.00;203.00;145.00;19.00;6.00;10.00;7.90;2.44;26.00;40.00;23.00;59.20;40.20;16.00;0.00;5.40
Neuenkirch;7174.00;281.60;1644.00;4455.00;1075.00;812.00;21.00;30.00;41.00;9.10;2.50;109.00;349.00;30.00;47.90;51.70;55.00;0.00;-2.00
Nottwil;4048.00;391.90;947.00;2549.00;552.00;522.00;21.00;27.00;23.00;8.90;2.52;51.00;162.00;24.00;54.30;49.20;26.00;0.00;16.50
Oberkirch;4937.00;542.50;1098.00;3122.00;717.00;556.00;29.00;39.00;32.00;7.00;2.41;46.00;224.00;77.00;52.50;54.90;53.00;0.00;22.80
Rickenbach (LU);3458.00;291.80;801.00;2115.00;542.00;659.00;4.00;11.00;28.00;8.50;2.49;39.00;136.00;41.00;60.50;49.90;60.00;0.00;14.30
Ruswil;7041.00;155.60;1569.00;4286.00;1186.00;701.00;15.00;29.00;60.00;9.70;2.45;200.00;297.00;99.00;37.20;47.80;119.00;0.00;-2.60
Schenkon;3040.00;451.00;647.00;1900.00;493.00;233.00;35.00;16.00;8.00;5.80;2.38;32.00;202.00;3.00;56.30;46.00;X;0.00;-6.90
Schlierbach;925.00;129.00;224.00;573.00;128.00;87.00;4.00;4.00;6.00;9.90;2.66;25.00;21.00;4.00;60.80;37.80;X;0.00;1.10
Sempach;4234.00;475.20;987.00;2467.00;780.00;389.00;29.00;15.00;18.00;7.30;2.46;32.00;242.00;7.00;49.90;45.30;28.00;0.00;-0.70
Sursee;10361.00;1777.20;1940.00;6584.00;1837.00;1773.00;9.00;65.00;115.00;5.10;2.16;5.00;984.00;9.00;37.20;62.20;263.00;1.00;16.40
Triengen;4616.00;209.00;1029.00;2823.00;764.00;1183.00;14.00;16.00;39.00;10.40;2.57;83.00;179.00;15.00;46.90;51.30;73.00;0.00;-10.80
Wolhusen;4315.00;302.00;1009.00;2576.00;730.00;908.00;4.00;16.00;36.00;9.50;2.42;62.00;207.00;45.00;39.20;52.40;159.00;0.00;2.10
Alberswil;665.00;188.40;133.00;456.00;76.00;92.00;5.00;3.00;4.00;8.20;2.38;10.00;31.00;4.00;59.80;47.90;6.00;0.00;-7.60
Altbüron;1017.00;150.70;216.00;637.00;164.00;111.00;12.00;5.00;5.00;8.20;2.57;32.00;44.00;1.00;52.40;43.30;20.00;0.00;-4.90
Altishofen;1959.00;136.80;477.00;1231.00;251.00;300.00;10.00;14.00;11.00;10.00;2.59;62.00;88.00;26.00;47.80;51.30;24.00;0.00;-7.10
Dagmersellen;5680.00;238.00;1235.00;3597.00;848.00;992.00;42.00;27.00;36.00;6.30;2.35;84.00;212.00;31.00;49.10;53.00;64.00;0.00;5.10
Egolzwil;1530.00;366.00;314.00;1013.00;203.00;159.00;7.00;6.00;7.00;8.00;2.36;14.00;62.00;15.00;52.60;42.60;14.00;0.00;5.30
Ettiswil;2792.00;221.90;664.00;1725.00;403.00;293.00;10.00;10.00;20.00;8.40;2.44;45.00;111.00;14.00;48.50;42.10;39.00;0.00;17.00
Fischbach;702.00;87.20;142.00;442.00;118.00;75.00;-4.00;1.00;10.00;10.80;2.57;39.00;19.00;0.00;44.90;50.00;14.00;0.00;4.30
Gettnau;1158.00;191.40;279.00;699.00;180.00;259.00;9.00;2.00;4.00;11.50;2.52;28.00;44.00;30.00;48.40;45.30;11.00;0.00;-5.20
Grossdietwil;855.00;83.80;156.00;550.00;149.00;86.00;-2.00;3.00;12.00;8.50;2.43;38.00;34.00;32.00;40.00;49.40;6.00;0.00;3.50
Hergiswil bei Willisau;1908.00;60.90;458.00;1113.00;337.00;126.00;7.00;11.00;17.00;11.70;2.61;138.00;54.00;5.00;33.10;43.20;17.00;0.00;-2.60
Luthern;1245.00;33.00;285.00;723.00;237.00;59.00;-3.00;3.00;15.00;13.10;2.56;115.00;36.00;0.00;29.70;47.20;16.00;0.00;6.40
Menznau;2966.00;97.80;670.00;1797.00;499.00;324.00;12.00;12.00;24.00;11.60;2.50;107.00;106.00;20.00;35.90;49.10;38.00;0.00;24.30
Nebikon;2713.00;727.30;615.00;1712.00;386.00;807.00;16.00;4.00;15.00;6.90;2.42;11.00;118.00;39.00;49.90;56.50;54.00;0.00;0.40
Pfaffnau;2674.00;151.20;562.00;1669.00;443.00;401.00;13.00;17.00;19.00;7.00;2.27;63.00;117.00;2.00;54.60;48.60;76.00;0.00;-1.90
Reiden;7255.00;268.40;1534.00;4517.00;1204.00;1888.00;18.00;32.00;59.00;6.90;2.32;74.00;341.00;26.00;54.40;57.70;141.00;0.00;7.90
Roggliswil;723.00;116.40;168.00;461.00;94.00;46.00;2.00;4.00;7.00;9.70;2.47;30.00;33.00;16.00;47.50;51.20;X;0.00;25.30
Schötz;4575.00;299.60;1093.00;2916.00;566.00;922.00;15.00;20.00;35.00;8.60;2.44;67.00;165.00;51.00;51.90;47.80;71.00;0.00;7.90
Ufhusen;927.00;75.90;208.00;566.00;153.00;59.00;4.00;5.00;5.00;12.20;2.54;58.00;36.00;2.00;41.90;40.50;X;0.00;39.70
Wauwil;2380.00;804.10;491.00;1521.00;368.00;550.00;18.00;10.00;10.00;7.80;2.41;17.00;93.00;73.00;44.10;56.80;58.00;0.00;42.20
Wikon;1495.00;180.60;334.00;883.00;278.00;270.00;-5.00;5.00;17.00;8.30;2.38;16.00;57.00;0.00;63.60;57.40;36.00;0.00;-12.60
Zell (LU);2108.00;151.50;457.00;1261.00;390.00;294.00;7.00;10.00;13.00;9.30;2.43;59.00;103.00;7.00;47.30;50.20;55.00;0.00;1.00
Willisau;7752.00;188.30;1697.00;4492.00;1563.00;925.00;5.00;29.00;74.00;8.70;2.34;173.00;446.00;37.00;41.60;48.00;250.00;1.00;-8.00
Altdorf (UR);9565.00;936.80;1870.00;5701.00;1994.00;1594.00;-32.00;42.00;102.00;5.20;2.17;36.00;650.00;103.00;44.60;61.90;189.00;1.00;5.30
Andermatt;1527.00;24.50;206.00;960.00;361.00;433.00;5.00;8.00;11.00;3.70;1.95;16.00;142.00;115.00;26.20;57.30;8.00;0.00;50.70
Attinghausen;1747.00;37.30;434.00;1036.00;277.00;120.00;2.00;10.00;14.00;10.20;2.51;33.00;55.00;0.00;55.70;44.30;7.00;0.00;-5.10
Bauen;169.00;44.50;17.00;117.00;35.00;16.00;-2.00;2.00;2.00;4.70;1.98;4.00;4.00;0.00;53.60;46.50;X;0.00;29.90
