N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Kaisten;2754.00;152.20;531.00;1681.00;542.00;520.00;12.00;11.00;15.00;5.60;2.30;33.00;98.00;39.00;74.60;41.90;11.00;0.00;22.40
Laufenburg;3659.00;252.90;758.00;2160.00;741.00;1203.00;-6.00;17.00;31.00;6.20;2.27;27.00;190.00;16.00;56.60;50.50;100.00;0.00;1.60
Münchwilen (AG);1007.00;409.30;199.00;644.00;164.00;278.00;5.00;2.00;4.00;6.30;2.23;X;41.00;0.00;71.80;52.80;20.00;0.00;54.20
Oberhof;570.00;69.50;146.00;333.00;91.00;57.00;2.00;4.00;3.00;9.00;2.42;24.00;20.00;0.00;62.20;34.70;16.00;0.00;-32.80
Oeschgen;1049.00;239.50;223.00;646.00;180.00;151.00;6.00;5.00;7.00;6.40;2.39;7.00;44.00;8.00;73.40;37.90;X;0.00;-2.90
Schwaderloch;689.00;248.70;125.00;429.00;135.00;168.00;3.00;1.00;6.00;7.70;2.39;5.00;33.00;3.00;72.10;43.90;12.00;0.00;-2.90
Sisseln;1661.00;659.10;319.00;1080.00;262.00;487.00;13.00;6.00;4.00;4.80;2.28;X;64.00;0.00;78.90;46.90;18.00;0.00;30.70
Ueken;909.00;178.20;199.00;579.00;131.00;164.00;7.00;4.00;4.00;6.00;2.46;9.00;37.00;6.00;77.50;42.60;X;0.00;20.10
Wittnau;1365.00;121.30;274.00;874.00;217.00;146.00;4.00;12.00;12.00;6.70;2.38;13.00;58.00;7.00;65.10;43.80;11.00;0.00;23.70
Wölflinswil;1033.00;108.60;227.00;616.00;190.00;83.00;-1.00;9.00;5.00;7.30;2.27;32.00;39.00;2.00;59.30;44.20;6.00;0.00;-7.70
Zeihen;1170.00;170.10;245.00;745.00;180.00;195.00;12.00;3.00;5.00;5.10;2.34;26.00;51.00;0.00;66.60;41.80;12.00;0.00;-16.20
Mettauertal;2067.00;95.70;372.00;1241.00;454.00;326.00;-10.00;12.00;27.00;5.50;2.20;50.00;89.00;13.00;61.90;45.10;18.00;0.00;19.50
Ammerswil;735.00;230.40;176.00;446.00;113.00;97.00;8.00;3.00;2.00;6.10;2.47;6.00;34.00;1.00;83.30;38.70;X;0.00;4.10
Boniswil;1520.00;630.70;281.00;932.00;307.00;221.00;-4.00;14.00;11.00;4.20;2.20;5.00;66.00;40.00;73.40;47.70;11.00;0.00;26.70
Brunegg;866.00;558.70;186.00;562.00;118.00;191.00;3.00;4.00;4.00;4.90;2.35;4.00;37.00;0.00;60.90;49.90;7.00;0.00;-8.00
Dintikon;2317.00;622.80;523.00;1431.00;363.00;595.00;11.00;8.00;7.00;8.40;2.48;10.00;97.00;2.00;66.90;47.00;17.00;0.00;21.40
Egliswil;1484.00;235.90;296.00;959.00;229.00;213.00;1.00;3.00;13.00;4.90;2.28;13.00;69.00;5.00;66.00;47.70;16.00;0.00;9.50
Fahrwangen;2338.00;583.00;494.00;1459.00;385.00;560.00;1.00;4.00;18.00;6.70;2.29;14.00;108.00;43.00;66.40;48.90;44.00;0.00;24.30
Hallwil;949.00;435.30;163.00;625.00;161.00;201.00;8.00;5.00;6.00;5.90;2.22;5.00;53.00;7.00;65.60;52.00;19.00;0.00;67.80
Hendschiken;1336.00;379.50;284.00;903.00;149.00;263.00;12.00;4.00;9.00;6.10;2.37;12.00;58.00;3.00;74.70;51.40;13.00;0.00;1.50
Holderbank (AG);1408.00;604.30;271.00;914.00;223.00;463.00;9.00;13.00;7.00;5.70;2.14;X;67.00;2.00;64.90;55.20;29.00;0.00;11.50
Hunzenschwil;4209.00;1291.10;880.00;2726.00;603.00;1251.00;39.00;30.00;23.00;6.20;2.34;9.00;213.00;21.00;69.80;53.20;36.00;0.00;33.70
Lenzburg;11024.00;974.70;1967.00;7190.00;1867.00;3154.00;37.00;89.00;87.00;5.10;2.09;10.00;846.00;79.00;57.00;57.60;415.00;2.00;15.80
Meisterschwanden;3032.00;713.40;516.00;1910.00;606.00;506.00;17.00;11.00;15.00;4.00;2.19;10.00;168.00;55.00;67.40;49.90;26.00;0.00;17.70
Möriken-Wildegg;4561.00;690.00;940.00;2720.00;901.00;972.00;-4.00;12.00;34.00;5.50;2.35;10.00;228.00;34.00;72.80;48.60;82.00;0.00;16.10
Niederlenz;4841.00;1462.50;1160.00;2963.00;718.00;1379.00;23.00;16.00;25.00;7.50;2.46;X;181.00;11.00;77.00;53.60;101.00;0.00;9.60
Othmarsingen;3037.00;643.40;662.00;1970.00;405.00;813.00;23.00;21.00;17.00;5.60;2.32;8.00;147.00;37.00;68.30;55.20;47.00;0.00;27.20
Rupperswil;5618.00;903.20;1204.00;3574.00;840.00;1237.00;32.00;26.00;42.00;6.60;2.32;8.00;225.00;49.00;71.50;52.10;128.00;0.00;20.70
Schafisheim;3044.00;480.90;614.00;1851.00;579.00;601.00;2.00;9.00;19.00;6.60;2.39;11.00;148.00;9.00;73.80;47.00;67.00;0.00;4.90
Seengen;4122.00;425.40;826.00;2478.00;818.00;456.00;-1.00;17.00;28.00;5.30;2.27;21.00;194.00;25.00;65.50;47.10;23.00;0.00;10.50
Seon;5198.00;540.30;1077.00;3155.00;966.00;1291.00;1.00;28.00;47.00;5.90;2.29;21.00;275.00;7.00;68.90;50.10;86.00;0.00;-3.60
Staufen;4068.00;1136.30;819.00;2634.00;615.00;743.00;25.00;29.00;16.00;5.10;2.20;6.00;137.00;58.00;70.60;55.00;17.00;0.00;40.00
Abtwil;954.00;230.40;227.00;617.00;110.00;135.00;4.00;11.00;3.00;6.50;2.47;17.00;36.00;0.00;65.20;44.40;9.00;0.00;-16.70
Aristau;1512.00;175.00;298.00;1016.00;198.00;259.00;10.00;11.00;14.00;5.10;2.31;33.00;54.00;3.00;63.10;39.10;12.00;0.00;8.00
Auw;2203.00;257.40;588.00;1357.00;258.00;430.00;10.00;8.00;13.00;10.60;2.61;36.00;80.00;28.00;61.80;41.90;15.00;0.00;21.60
Beinwil (Freiamt);1183.00;104.60;269.00;724.00;190.00;116.00;8.00;7.00;6.00;10.50;2.38;45.00;62.00;0.00;51.50;45.90;X;0.00;-2.50
Besenbüren;632.00;265.50;158.00;395.00;79.00;51.00;-2.00;0.00;3.00;8.90;2.56;12.00;23.00;6.00;69.50;32.10;X;0.00;4.80
Bettwil;654.00;153.90;141.00;414.00;99.00;80.00;3.00;4.00;4.00;5.90;2.26;14.00;27.00;4.00;55.10;43.80;6.00;0.00;23.30
Boswil;2923.00;248.10;636.00;1803.00;484.00;576.00;1.00;10.00;25.00;7.10;2.33;39.00;130.00;20.00;62.50;48.60;50.00;0.00;16.90
Bünzen;1128.00;195.20;241.00;712.00;175.00;176.00;6.00;5.00;3.00;7.60;2.38;21.00;61.00;2.00;68.40;40.80;7.00;0.00;8.90
Buttwil;1234.00;270.00;281.00;759.00;194.00;159.00;-1.00;4.00;11.00;7.20;2.46;10.00;59.00;0.00;74.50;33.20;11.00;0.00;-7.30
Dietwil;1355.00;246.80;314.00;860.00;181.00;226.00;14.00;10.00;4.00;7.00;2.36;20.00;42.00;7.00;56.70;49.90;10.00;0.00;5.20
Geltwil;221.00;67.40;49.00;142.00;30.00;22.00;0.00;2.00;0.00;12.00;2.66;10.00;8.00;2.00;68.90;33.00;X;0.00;-9.00
Kallern;399.00;148.90;108.00;245.00;46.00;38.00;9.00;0.00;2.00;10.30;2.73;16.00;19.00;4.00;68.50;23.60;X;0.00;7.60
Merenschwand;3712.00;274.80;842.00;2386.00;484.00;722.00;18.00;14.00;22.00;8.70;2.56;45.00;159.00;8.00;65.40;44.70;31.00;0.00;8.40
Mühlau;1218.00;220.70;260.00;781.00;177.00;216.00;13.00;4.00;2.00;6.70;2.31;26.00;58.00;3.00;53.80;47.80;27.00;0.00;-7.40
Muri (AG);8244.00;668.10;1695.00;5021.00;1528.00;1760.00;-12.00;33.00;81.00;5.60;2.25;46.00;502.00;14.00;59.80;53.50;169.00;1.00;18.10
Oberrüti;1544.00;287.00;386.00;968.00;190.00;195.00;6.00;5.00;9.00;7.30;2.55;23.00;48.00;8.00;66.70;45.60;X;0.00;-3.90
Rottenschwil;911.00;202.90;148.00;621.00;142.00;133.00;-2.00;7.00;6.00;4.10;2.18;10.00;46.00;0.00;67.30;44.80;7.00;0.00;2.20
Sins;4299.00;211.70;994.00;2641.00;664.00;834.00;18.00;16.00;25.00;8.50;2.48;86.00;234.00;40.00;58.80;44.50;26.00;1.00;-0.70
